storeno	city	zip
2506	HIALEAH	33012
2507	TOTOWA	07512
2513	BOISE	83702
2515	FEDERAL WAY	98003
2518	FORT WORTH	76107
2519	MCDONOUGH	30253
2521	BOWIE	20720
2523	HAMILTON	45011
2524	LA PLACE	70068
2527	CLOVIS	93612
2528	PORT CHARLOTTE	33948
2529	SAINT LOUIS	63108
2538	ATLANTA	30318
2541	MARBLE FALLS	78654
2543	CORAL SPRINGS	33076
2545	DICKSON	37055
2546	VIERA	32940
2547	LOUISVILLE	40207
2549	AMERICAN FORK	84003
2550	LAS VEGAS	89139
2552	OXFORD	38655
2554	SAN ANTONIO	78250
2555	ORLANDO	32819
2557	LAKE WORTH	33463
2558	DALLAS	75254
2559	ENTERPRISE	36330
2563	MISHAWAKA	46545
2564	HUNTSVILLE	35806
2573	LAFAYETTE	70503
2574	LAKE CHARLES	70615
2581	EL PASO	79925
2582	TEXAS CITY	77591
2583	VICTORIA	77904
2587	ORLANDO	32803
2591	LAFAYETTE	47905
2593	ENGLEWOOD	34223
2595	/'	33331
2596	BRADENTON	34208
2597	PALM HARBOR	34684
2598	BEL AIR	21014
2601	HIGH POINT	27265
2602	GREENSBORO	27401
2603	WESLEY CHAPEL	33544
2605	RENO	89521
2606	GREENSBORO	27410
2608	MARYSVILLE	98271
2611	ALBUQUERQUE	87109
2612	DENHAM SPRINGS	70726
2613	HENDERSONVILLE	37075
2614	FORT WAYNE	46835
2615	BRUNSWICK	31525
2617	TOMBALL	77377
2619	BOZEMAN	59718
2623	WHEATON	60187
2626	REISTERSTOWN	21136
2627	BOWIE	20715
2628	SPARKS	89436
2629	JONESBORO	30236
2631	BIRMINGHAM	35235
2632	GLENWOOD SPRINGS	81601
2634	ORLANDO	32837
2635	GILLETTE	82718
2637	NEWBURGH	12550
2640	AURORA	80016
2641	AURORA	80016
2642	CLARKSTON	48346
2645	DRAPER	84020
2649	PUEBLO	81005
2650	WEST BOUNTIFUL	84010
2653	INDIAN HARBOUR BEACH	32937
2657	AURORA	80011
2659	COTTONWOOD HEIGHTS	84121
2660	SPRINGDALE	72762
2661	HUMBLE	77346
2662	PASADENA	77505
2665	PEARLAND	77581
2668	WESLACO	78596
2669	TALLAHASSEE	32304
2672	ELKRIDGE	21075
2675	CLEARWATER	33764
2684	GUAYNABO	00968
2685	GOLDSBORO	27534
2687	MORRISVILLE	27560
2688	MISSION	78572
2689	MOORE	73160
2691	LAKE JACKSON	77566
2692	DEERFIELD BEACH	33441
2694	OXNARD	93033
2695	CANON CITY	81212
2696	SEQUIM	98382
2698	RALEIGH	27613
2699	MIAMI LAKES	33014
2703	PALM BAY	32905
2705	BRANDON	33511
2706	PENSACOLA	32505
2709	WACO	76706
2712	CAROLINA	00987
2714	NORMAN	73069
2715	LAS VEGAS	89119
2717	MANDEVILLE	70471
2718	HUNTERSVILLE	28078
2720	BRIGHTON	80601
2722	TUCSON	85716
2723	HOUSTON	77093
2727	JUPITER	33477
2729	BIRMINGHAM	35210
2730	NATCHEZ	39120
2737	FORT COLLINS	80528
2740	MANHATTAN BEACH	90266
2741	SEGUIN	78155
2742	BATON ROUGE	70816
2745	LAFAYETTE	70501
2748	CORSICANA	75109
2749	MOBILE	36619
2759	MIAMI	33126
2761	MADISON	39110
2764	FORT WAYNE	46818
2766	RICHLAND	99354
2770	ARNOLD	63010
2772	ALVIN	77511
2777	CEDAR PARK	78613
2778	LANSDOWNE	21227
2784	AUSTIN	78757
2785	LUBBOCK	79407
2789	ORANGE	92867
2790	ELLISVILLE	63011
2795	MCCOMB	39648
2796	HOUSTON	77058
2799	ARVADA	80002
2801	SARASOTA	34232
2802	LONGVIEW	98632
2805	BALCONES HEIGHTS	78201
2806	LAKE MARY	32746
2809	HOUSTON	77008
2815	MIAMI	33155
2818	LAUDERDALE LAKES	33319
2819	PFLUGERVILLE	78660
2820	BATON ROUGE	70810
2821	PANAMA CITY BEACH	32407
2838	OREM	84058
3227	WEST MELBOURNE	32904
3230	DIBERVILLE	39540
3234	MEMPHIS	38125
3235	CHATTANOOGA	37411
3237	COLORADO SPRINGS	80909
3238	GREENWOOD VILLAGE	80112
3239	GLEN BURNIE	21061
3241	GRAND JUNCTION	81505
3242	NILES	60714
3244	BERWYN	60402
3245	FORT WORTH	76132
3246	GASTONIA	28056
3248	STERLING	20164
3249	FORT WORTH	76120
3250	HICKORY	28602
3251	ANNAPOLIS	21401
3252	RENO	89509
3253	MERRILLVILLE	46410
3254	SAVANNAH	31406
3255	FALLS CHURCH	22041
3256	PUYALLUP	98373
3257	BROWNSVILLE	78526
3260	RACINE	53406
3261	ORLANDO	32809
3262	MATTHEWS	28105
3263	PRATVILLE	36066
3264	DALLAS	75237
3265	MIDLOTHIAN	23113
3266	ST. PETERSBURG	33704
3267	WICHITA FALLS	76308
3270	ST PETERSBURG	33713
3271	MACON	31206
3272	AURORA	80012
3277	MONTEBELLO	90640
3278	LIMA	45805
3279	ROUND ROCK	78681
3280	NORTH RICHLAND HILLS	76180
3281	CHARLOTTE	28205
3284	SUNRISE	33323
3286	COLMA	94014
3287	FRANKFORT	40601
3288	DENVER	80202
3289	DENVER	80246
3290	DENVER	80203
3291	ROWLAND HEIGHTS	91748
3293	TEXARKANA	75503
3297	MEMPHIS	38119
3298	COSTA MESA	92626
3303	SIMI VALLEY	93065
3304	ARLINGTON	76011
3306	BERKELEY	94710
3308	DAPHNE	36526
3309	ALEXANDRIA	22303
3311	ORLAND PARK	60462
3312	HOUSTON	77082
3313	SMYRNA	30080
3315	WASHINGTON	20009
3317	SHERMAN	75090
3318	FORT MYERS	33907
3320	TARZANA	91356
3321	MIDWEST CITY	73110
3322	KATY	77450
3324	FORT LAUDERDALE	33304
3325	MARATHON	33050
3340	BEAVERCREEK	45431
3351	LAS VEGAS	89108
3353	WEST COVINA	91791
3356	FRANKLIN	37067
3357	CHARLESTON	29407
3358	IRVINE	92618
3361	BRADENTON	34205
6024	MIDDLEBURG HEIGHTS	44130
6025	NORTH OLMSTED	44070
6026	MADISON HEIGHTS	48071
6028	KENTWOOD	49512
6029	ERIE	16565
6030	AKRON	44333
6031	HOLLAND	43528
6032	STERLING HEIGHTS	48312
6033	COLONIE	12205
6034	ROCHESTER	14623
6037	SAGINAW	48604
6039	LANSING	48911
6041	MENTOR	44060
6042	EDINA	55435
6043	ROSEVILLE	55113
6044	SAINT PAUL	55104
6045	VERNON HILLS	60061
6046	BLASDELL	14219
6047	CRESTWOOD	60445
6048	ANN ARBOR	48103
6061	WICHITA	67207
6062	CICERO	13039
6063	HARRISBURG	17112
6064	TOLEDO	43623
6066	MELROSE PARK	60160
6068	MECHANICSBURG	17050
6069	FARMINGTON HILLS	48334
6070	BURNSVILLE	55337
6071	ROCKFORD	61108
6072	PEORIA	61615
6073	PITTSBURGH	15205
6074	ASHWAUBENON	54304
6075	MONROEVILLE	15146
6076	SPRINGFIELD	62704
6077	DAVENPORT	52806
6078	PORTAGE	49002
6079	GREECE	14626
6080	NILES	44446
6081	SOUTHGATE	48195
6082	JOLIET	60435
6083	PITTSBURGH	15237
6084	DEERFIELD	60015
6086	BLOOMINGDALE	60108
6088	HAMPTON	23666
6090	VIRGINIA BEACH	23452
6091	NORFOLK	23502
6092	DULUTH	30096
6093	ATLANTA	30339
6094	WALKER	49544
6095	RIVERDALE	84405
6096	KALISPELL	59901
6097	CLINTON TOWNSHIP	48035
6099	DES MOINES	50320
6100	WOODRIDGE	60517
6101	BOARDMAN	44512
6103	HODGKINS	60525
6104	SALT LAKE CITY	84106
6105	WYOMING	49509
6107	FARGO	58103
6109	WESTLAND	48185
6110	ROCHESTER HILLS	48307
6111	MADISON	53719
6113	TOLEDO	43612
6114	BRIDGEVILLE	15017
6115	PLEASANT HILLS	15236
6116	UTICA	48315
6118	SIOUX FALLS	57105
6119	NORTH DARTMOUTH	02747
6120	MIDVALE	84047
6121	BOHEMIA	11716
6125	PALM BEACH GARDENS	33410
6126	TUCSON	85705
6127	KENNESAW	30144
6129	PHOENIX	85032
6130	SARASOTA	34239
6131	NAPLES	34105
6133	BOCA RATON	33498
6134	APPLETON	54914
6135	HARWOOD HEIGHTS	60706
6136	MIAMI	33175
6137	DORCHESTER	02125
6138	ROCKY RIVER	44116
6139	SAINT CLOUD	56301
6142	AURORA	60504
6143	HALLANDALE	33009
6145	LANSDALE	19446
6146	HOLLYWOOD	33020
6147	FEDERAL WAY	98003
6148	DENVER	80209
6152	SKOKIE	60077
6153	GAINESVILLE	30501
6155	TACOMA	98409
